epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43563,1.06284,3.04111,1.44635,0.00167,1,0.3251,0.1478,1.07214,4.74015,1.39598,0.00038,0.00038,0.00038
2,11.0639,1.1513,2.40419,1.46261,0.00154,0.925,0.19381,0.08515,2.0939,8.58011,2.71222,0.00076713,0.00076713,0.00076713
3,15.5509,1.26099,2.35819,1.5249,0.17199,0.2,0.17038,0.06211,1.48225,4.98194,2.30254,0.00114106,0.00114106,0.00114106
4,19.8986,1.28091,2.2967,1.52663,0.14561,0.2,0.12271,0.04139,1.40704,5.84928,2.04102,0.00150179,0.00150179,0.00150179
5,24.1569,1.44081,2.37655,1.59046,0.22375,0.3,0.16891,0.06132,1.80937,8.05648,2.707,0.00184932,0.00184932,0.00184932
6,28.5521,1.39741,2.20949,1.57394,0.1981,0.3,0.12846,0.0452,2.16371,13.0808,2.87837,0.001835,0.001835,0.001835
7,32.735,1.34835,2.13513,1.52242,0.13493,0.7,0.24839,0.09232,1.60129,55.5535,2.93224,0.001802,0.001802,0.001802
8,37.0607,1.38739,2.05358,1.51188,0.42584,0.175,0.17965,0.07263,2.05769,7.69701,2.46153,0.001769,0.001769,0.001769
9,41.5212,1.2931,1.94392,1.53075,0.29119,0.475,0.27783,0.10915,1.59403,7.20748,1.92483,0.001736,0.001736,0.001736
10,45.8939,1.32299,1.9824,1.51688,0.30064,0.35,0.2635,0.11237,1.47082,4.97809,2.00937,0.001703,0.001703,0.001703
11,50.0362,1.27996,1.81539,1.48819,0.38961,0.425,0.36048,0.15992,1.64564,6.5204,2.21967,0.00167,0.00167,0.00167
12,54.4749,1.30735,1.95934,1.5236,0.31528,0.575,0.32608,0.12799,1.35494,6.12772,1.73035,0.001637,0.001637,0.001637
