epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25754,1.35034,2.84127,1.68728,0.09155,0.2,0.07355,0.01486,2.4635,15.2582,3.70107,0.00038,0.00038,0.00038
2,14.1402,1.79002,2.61103,1.95845,0.00419,0.25,0.00431,0.0012,3.68699,inf,24.6308,0.00076713,0.00076713,0.00076713
3,20.9494,1.861,2.52442,1.98171,4e-05,0.025,2e-05,0,nan,nan,nan,0.00114106,0.00114106,0.00114106
4,27.5515,1.79274,2.48661,1.92227,0,0,0,0,nan,nan,nan,0.00150179,0.00150179,0.00150179
5,34.151,1.8224,2.54752,1.96619,0,0,0,0,nan,nan,nan,0.00184932,0.00184932,0.00184932
6,40.7411,1.90369,2.46566,1.96464,0,0,0,0,nan,nan,nan,0.001835,0.001835,0.001835
7,47.3378,1.81381,2.43231,1.89185,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
8,53.9193,1.72679,2.4473,1.85512,0,0,0,0,nan,nan,nan,0.001769,0.001769,0.001769
9,60.512,1.60064,2.14544,1.73256,0,0,0,0,nan,nan,nan,0.001736,0.001736,0.001736
10,67.1769,1.69241,2.16659,1.77516,0.05331,0.15,0.03287,0.00923,nan,nan,nan,0.001703,0.001703,0.001703
11,73.8658,1.57244,2.12706,1.72355,0.10288,0.825,0.21965,0.08295,1.97043,56.6892,2.88915,0.00167,0.00167,0.00167
12,80.6001,1.63893,2.25496,1.78211,0.09578,0.25,0.08561,0.0372,2.09422,11.7866,2.46151,0.001637,0.001637,0.001637
13,87.2768,1.51875,2.12878,1.67994,0.22342,0.4,0.17294,0.06255,1.95402,9.53864,2.32194,0.001604,0.001604,0.001604
14,93.9599,1.51791,2.16671,1.66347,0.11028,0.4,0.08865,0.03087,2.18626,14.6344,2.46252,0.001571,0.001571,0.001571
15,100.648,1.45671,2.01827,1.61207,0.19358,0.40211,0.15794,0.05494,2.07678,5.63001,2.38208,0.001538,0.001538,0.001538
16,107.332,1.41036,2.03324,1.60514,0.50077,0.425,0.49474,0.16027,1.7102,2.76967,2.22923,0.001505,0.001505,0.001505
17,114.102,1.55686,2.01631,1.65754,0.46629,0.45,0.44094,0.16892,1.79465,8.6398,2.15457,0.001472,0.001472,0.001472
18,120.871,1.41677,1.94334,1.60355,0.43233,0.475,0.48381,0.17453,2.10165,5.10917,2.41131,0.001439,0.001439,0.001439
