epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57938,1.22008,3.44948,1.45551,0.00194,1,0.49167,0.24433,1.19363,15.3639,1.45119,0.000541775,0.000541775,0.000541775
2,10.0242,1.3373,2.76231,1.5028,0.48308,0.375,0.39037,0.15531,1.34249,18.4359,1.94444,0.00107933,0.00107933,0.00107933
3,14.3164,1.47236,2.64205,1.58584,0.25472,0.525,0.28797,0.09913,1.65568,25.7893,2.25416,0.00159856,0.00159856,0.00159856
4,18.6552,1.5424,2.41088,1.60696,0.26455,0.4875,0.25767,0.09033,1.62653,111.534,2.13064,0.00158448,0.00158448,0.00158448
5,22.8691,1.42377,2.11152,1.53317,0.2536,0.3875,0.23773,0.07595,1.6914,67.9036,2.0686,0.00155698,0.00155698,0.00155698
6,27.1082,1.39402,2.01347,1.49197,0.2852,0.1125,0.11713,0.05915,1.44309,15.0116,1.71644,0.00152947,0.00152947,0.00152947
7,31.3851,1.30669,1.87635,1.44137,0.4537,0.51717,0.43189,0.19873,1.39534,11.409,1.78286,0.00150197,0.00150197,0.00150197
8,35.5605,1.34932,1.75502,1.46853,0.45877,0.4625,0.50134,0.24933,1.24834,22.4378,1.42882,0.00147446,0.00147446,0.00147446
9,39.7726,1.36355,1.73865,1.47687,0.72556,0.5,0.5301,0.25314,1.42975,4.69616,1.65259,0.00144696,0.00144696,0.00144696
10,43.9985,1.25706,1.55573,1.41693,0.36423,0.5535,0.31956,0.15089,1.33902,10.556,1.59551,0.00141945,0.00141945,0.00141945
11,48.1594,1.29525,1.60486,1.43038,0.63553,0.5625,0.56614,0.31265,1.27701,3.66068,1.40537,0.00139195,0.00139195,0.00139195
12,52.3144,1.32983,1.58657,1.4423,0.54471,0.5625,0.54889,0.29415,1.36296,7.24366,1.36928,0.00136444,0.00136444,0.00136444
13,56.5421,1.24665,1.50745,1.3987,0.71297,0.63106,0.66613,0.35758,1.34876,5.47339,1.40982,0.00133693,0.00133693,0.00133693
14,60.7005,1.19035,1.42211,1.36565,0.67696,0.72416,0.70811,0.39991,1.15145,7.64661,1.32696,0.00130943,0.00130943,0.00130943
15,64.9321,1.24509,1.46166,1.3799,0.62179,0.675,0.66212,0.36262,1.12074,4.16895,1.31321,0.00128192,0.00128192,0.00128192
16,69.222,1.18084,1.47514,1.38168,0.62107,0.7375,0.73767,0.42292,1.042,3.35287,1.20241,0.00125442,0.00125442,0.00125442
17,74.2538,1.16121,1.29122,1.35034,0.71571,0.79887,0.76533,0.39892,1.11231,2.73209,1.26112,0.00122691,0.00122691,0.00122691
18,79.2449,1.1884,1.28632,1.34001,0.79803,0.825,0.85009,0.43171,1.18265,2.01292,1.22356,0.00119941,0.00119941,0.00119941
19,84.0795,1.13962,1.2488,1.3122,0.88649,0.78393,0.84461,0.41844,1.06665,2.37322,1.31171,0.0011719,0.0011719,0.0011719
20,89.1453,1.1315,1.2216,1.32129,0.71181,0.71404,0.73715,0.39581,1.12072,2.80225,1.23839,0.0011444,0.0011444,0.0011444
21,93.9596,1.09501,1.24709,1.30107,0.85174,0.775,0.80497,0.45065,1.07117,3.76704,1.26066,0.00111689,0.00111689,0.00111689
22,98.8093,1.07281,1.12498,1.29161,0.74661,0.77926,0.77268,0.43071,1.18098,2.77417,1.23591,0.00108938,0.00108938,0.00108938
23,103.71,1.11309,1.16707,1.30072,0.79802,0.77715,0.74791,0.41664,1.13231,2.02049,1.29309,0.00106188,0.00106188,0.00106188
24,108.53,1.08951,1.13272,1.26372,0.82515,0.73602,0.75884,0.46159,1.14337,1.96345,1.19575,0.00103437,0.00103437,0.00103437
25,113.337,1.08301,1.15295,1.28655,0.76429,0.7875,0.76236,0.45428,1.0984,1.5518,1.23883,0.00100687,0.00100687,0.00100687
26,118.412,1.07434,1.16689,1.27291,0.79594,0.8375,0.80884,0.47684,1.07397,2.43072,1.26096,0.000979362,0.000979362,0.000979362
27,123.253,1.08982,1.13235,1.29737,0.70745,0.7,0.74214,0.42683,1.11853,2.36158,1.19147,0.000951857,0.000951857,0.000951857
28,128.097,1.04896,1.11834,1.2284,0.79247,0.75,0.75928,0.4293,1.07466,5.08771,1.26454,0.000924352,0.000924352,0.000924352
29,132.988,1.00774,1.06217,1.23072,0.87223,0.7851,0.81823,0.52445,1.08455,1.81956,1.19334,0.000896846,0.000896846,0.000896846
30,137.803,0.99222,1.06663,1.23669,0.88451,0.79057,0.84479,0.49791,1.07259,1.38807,1.21435,0.00086934,0.00086934,0.00086934
31,142.584,0.98873,1.01863,1.23039,0.86628,0.8,0.85197,0.5259,1.12468,2.20803,1.17471,0.000841835,0.000841835,0.000841835
32,147.543,0.99537,1.03762,1.23158,0.7868,0.8125,0.82108,0.50467,1.2048,1.18645,1.21076,0.000814329,0.000814329,0.000814329
33,152.467,0.97579,0.96807,1.21733,0.88493,0.8125,0.87572,0.48345,1.19287,1.42142,1.35832,0.000786824,0.000786824,0.000786824
34,157.294,0.97827,1.04356,1.21989,0.8464,0.83769,0.8414,0.49642,1.07763,1.38951,1.19839,0.000759318,0.000759318,0.000759318
35,162.195,0.96467,1.00759,1.18666,0.83393,0.8625,0.85764,0.50854,1.10882,1.55443,1.15706,0.000731813,0.000731813,0.000731813
36,167.113,0.96516,1.02565,1.20351,0.83439,0.775,0.79996,0.483,1.04648,1.60227,1.15106,0.000704307,0.000704307,0.000704307
37,172.025,0.94614,0.93911,1.16157,0.83963,0.8128,0.82113,0.47004,1.07194,1.01783,1.22516,0.000676802,0.000676802,0.000676802
38,177.093,0.95521,0.9257,1.21594,0.83762,0.8125,0.84454,0.49636,1.17732,2.71152,1.25572,0.000649297,0.000649297,0.000649297
39,182.056,0.9076,0.92376,1.17484,0.86188,0.8375,0.8597,0.51783,1.10198,3.46451,1.19394,0.000621791,0.000621791,0.000621791
40,187.158,0.89153,0.96021,1.16657,0.88825,0.79253,0.83602,0.52713,1.04899,2.42097,1.08918,0.000594286,0.000594286,0.000594286
41,192.16,0.91684,0.89329,1.17095,0.87771,0.85938,0.86285,0.49907,1.24218,1.82954,1.20438,0.00056678,0.00056678,0.00056678
42,197.207,0.91003,0.935,1.17383,0.84816,0.85,0.86034,0.51491,1.10287,2.34511,1.18024,0.000539275,0.000539275,0.000539275
43,201.873,0.88573,0.90496,1.16964,0.84638,0.77297,0.83036,0.50705,1.08837,0.92962,1.13044,0.000511769,0.000511769,0.000511769
44,206.06,0.86495,0.86104,1.15727,0.89762,0.8,0.86582,0.50632,1.15102,2.81547,1.22969,0.000484263,0.000484263,0.000484263
45,210.302,0.86075,0.85277,1.15889,0.87641,0.8219,0.86028,0.53285,1.08837,1.32371,1.10978,0.000456758,0.000456758,0.000456758
46,214.439,0.82898,0.82085,1.13979,0.82512,0.825,0.85382,0.53208,1.06264,1.20225,1.14158,0.000429253,0.000429253,0.000429253
47,218.656,0.85594,0.85816,1.14574,0.9136,0.775,0.86695,0.52212,1.08363,0.81817,1.20865,0.000401747,0.000401747,0.000401747
48,223.647,0.84493,0.7799,1.14711,0.90888,0.83103,0.87773,0.52455,1.1195,1.29427,1.18978,0.000374242,0.000374242,0.000374242
49,228.481,0.82147,0.82215,1.13868,0.82848,0.87255,0.86187,0.51887,1.12055,1.37397,1.16874,0.000346736,0.000346736,0.000346736
50,233.29,0.79047,0.78681,1.10178,0.92601,0.82454,0.87874,0.54143,1.03847,0.9187,1.1241,0.000319231,0.000319231,0.000319231
51,251.133,0.74571,0.7026,1.10316,0.91104,0.77457,0.86071,0.52565,1.10867,1.04316,1.14004,0.000291725,0.000291725,0.000291725
52,256.108,0.77819,0.63781,1.09508,0.89321,0.825,0.88977,0.5339,1.10757,1.08997,1.178,0.00026422,0.00026422,0.00026422
53,260.795,0.70417,0.58825,1.06216,0.89294,0.85,0.88724,0.53282,1.12004,1.55126,1.15502,0.000236714,0.000236714,0.000236714
54,265.651,0.72131,0.59532,1.07805,0.84254,0.8375,0.85741,0.54235,1.05854,0.95017,1.1226,0.000209209,0.000209209,0.000209209
55,270.346,0.68554,0.58577,1.0515,0.84147,0.84789,0.86667,0.51998,1.04444,0.92139,1.14522,0.000181703,0.000181703,0.000181703
56,275.11,0.68087,0.58294,1.05602,0.92057,0.77626,0.87913,0.53783,1.04541,1.13905,1.1435,0.000154198,0.000154198,0.000154198
57,279.868,0.69357,0.57945,1.05752,0.8821,0.79761,0.88056,0.53199,1.06939,0.96504,1.15212,0.000126692,0.000126692,0.000126692
58,284.58,0.68764,0.5795,1.04375,0.91253,0.7875,0.87381,0.54292,1.03006,0.90542,1.15128,9.91865e-05,9.91865e-05,9.91865e-05
59,289.311,0.69874,0.57085,1.04292,0.82124,0.875,0.88139,0.55571,1.05702,0.95456,1.15626,7.1681e-05,7.1681e-05,7.1681e-05
60,293.992,0.61585,0.50869,1.00012,0.86489,0.83026,0.88403,0.54986,1.04831,0.97209,1.16791,4.41755e-05,4.41755e-05,4.41755e-05
