epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38189,1.23171,6.91061,1.54243,0.50165,0.275,0.30945,0.14683,1.36192,17.2716,1.75233,0.00038,0.00038,0.00038
2,8.13857,1.28743,2.64773,1.56245,0.3317,0.675,0.41281,0.1079,2.03442,27.6502,3.1506,0.00076713,0.00076713,0.00076713
3,11.7775,1.48226,2.24803,1.68842,0.01527,0.225,0.00683,0.00242,2.7647,37.6809,4.54714,0.00114106,0.00114106,0.00114106
4,15.452,1.5938,2.26657,1.72343,0,0,0,0,5.29354,inf,2223.48,0.00150179,0.00150179,0.00150179
5,18.9093,1.75259,2.32109,1.81346,0.00474,0.025,0.00074,0.00015,nan,nan,nan,0.00184932,0.00184932,0.00184932
6,22.43,1.68343,2.24248,1.78189,0.00017,0.025,7e-05,1e-05,nan,nan,nan,0.001835,0.001835,0.001835
7,26.0054,1.67099,2.23492,1.72988,0.00027,0.025,4e-05,1e-05,nan,nan,nan,0.001802,0.001802,0.001802
8,29.5622,1.68207,2.19908,1.72602,0.01292,0.4,0.01107,0.00305,3.65152,377.104,22.3843,0.001769,0.001769,0.001769
9,32.9949,1.57963,2.12977,1.71004,0.01382,0.025,0.00088,0.00044,nan,nan,nan,0.001736,0.001736,0.001736
10,36.4194,1.57763,2.15036,1.7291,0.18221,0.45,0.1446,0.04082,2.06986,27.5157,2.37827,0.001703,0.001703,0.001703
11,39.8651,1.48962,2.06583,1.65453,0.20039,0.4,0.16647,0.04547,2.67345,20.3098,2.77688,0.00167,0.00167,0.00167
12,43.289,1.54048,2.23502,1.67254,0.10617,0.125,0.06519,0.03011,3.79481,4.47279,3.68855,0.001637,0.001637,0.001637
13,46.7361,1.46091,2.02512,1.63446,0.15385,0.425,0.19254,0.06681,1.62015,34.9104,2.01726,0.001604,0.001604,0.001604
14,50.3206,1.45123,1.93347,1.53923,0.38433,0.3,0.30797,0.10395,1.80688,7.21372,2.23339,0.001571,0.001571,0.001571
15,53.7518,1.36278,1.82359,1.55204,0.0309,0.05506,0.01046,0.0021,3.31998,34.0156,3.34743,0.001538,0.001538,0.001538
16,57.1732,1.34864,1.88359,1.55215,0.00983,0.2,0.00503,0.00151,3.88039,4.93503,3.48792,0.001505,0.001505,0.001505
17,60.6112,1.43464,1.78719,1.56099,0.58395,0.31607,0.35146,0.10569,2.23513,3.17084,2.44127,0.001472,0.001472,0.001472
18,64.0549,1.30285,1.7821,1.49915,0.50193,0.7307,0.60559,0.234,1.65215,2.45535,1.89725,0.001439,0.001439,0.001439
19,67.5075,1.26199,1.74895,1.48075,0.37752,0.525,0.44,0.16297,1.73857,2.5926,2.09032,0.001406,0.001406,0.001406
20,70.9539,1.33879,1.67995,1.49263,0.45101,0.55,0.4689,0.19306,1.69084,2.82018,2.12711,0.001373,0.001373,0.001373
21,74.4138,1.40162,1.75697,1.55755,0.49304,0.575,0.52153,0.1997,1.70496,2.38498,2.03463,0.00134,0.00134,0.00134
22,77.858,1.28406,1.72529,1.50362,0.34805,0.64072,0.43966,0.17095,1.3955,2.294,1.68196,0.001307,0.001307,0.001307
23,81.3296,1.33934,1.7942,1.51872,0.43667,0.575,0.46762,0.15868,1.69675,2.68266,2.0806,0.001274,0.001274,0.001274
24,84.8802,1.29183,1.68718,1.50486,0.48454,0.525,0.49291,0.18875,1.58987,3.12873,1.99653,0.001241,0.001241,0.001241
25,88.3088,1.33,1.67727,1.47874,0.70605,0.525,0.62673,0.24381,1.58856,2.20417,1.81404,0.001208,0.001208,0.001208
26,91.7916,1.221,1.64944,1.41112,0.6285,0.6,0.62991,0.21173,1.7342,2.29739,2.00591,0.001175,0.001175,0.001175
27,95.2451,1.17756,1.66294,1.43568,0.75078,0.60256,0.75754,0.26078,1.37218,1.83046,1.56703,0.001142,0.001142,0.001142
28,98.7314,1.20272,1.63843,1.4487,0.74502,0.65756,0.78133,0.28535,1.53556,2.1331,1.7342,0.001109,0.001109,0.001109
29,102.208,1.2083,1.62161,1.42477,0.38368,0.56039,0.39082,0.16226,1.75932,2.34582,1.96427,0.001076,0.001076,0.001076
30,105.752,1.26722,1.6542,1.45566,0.58668,0.55,0.56235,0.22955,1.63441,2.20806,1.81408,0.001043,0.001043,0.001043
31,109.135,1.16684,1.52483,1.42407,0.63337,0.6,0.58417,0.23506,1.48265,2.13357,1.71231,0.00101,0.00101,0.00101
32,112.552,1.15114,1.5475,1.39436,0.56968,0.69511,0.65325,0.28664,1.42932,1.79859,1.59376,0.000977,0.000977,0.000977
33,116.016,1.13567,1.4804,1.40162,0.81263,0.725,0.79021,0.3108,1.66881,1.67985,1.93329,0.000944,0.000944,0.000944
34,119.503,1.1304,1.45303,1.38607,0.75903,0.625,0.69509,0.25175,1.72552,2.08295,1.89215,0.000911,0.000911,0.000911
35,122.955,1.10121,1.49198,1.34592,0.67357,0.6,0.66412,0.22508,1.73685,2.18787,1.93746,0.000878,0.000878,0.000878
36,126.388,1.06824,1.39247,1.35234,0.76011,0.6,0.70316,0.29191,1.42454,1.74989,1.65475,0.000845,0.000845,0.000845
